ID,Label
5227,No
5228,Yes
5229,No
5230,No
5231,No
5232,No
5233,No
5234,No
5235,No
5236,No
5237,No
5238,No
5239,No
5240,No
5241,Yes
5242,No
5243,No
5244,No
5245,Yes
5246,No
5247,No
5248,No
5249,No
5250,No
5251,No
5252,Yes
5253,No
5254,No
5255,Yes
5256,No
5257,Yes
5258,Yes
5259,No
5260,No
5261,No
5262,No
5263,Yes
5264,No
5265,No
5266,No
5267,No
5268,No
5269,No
5270,No
5271,No
5272,No
5273,No
5274,Yes
5275,No
5276,No
5277,No
5278,No
5279,Yes
5280,No
5281,No
5282,No
5283,No
5284,No
5285,Yes
5286,Yes
5287,No
5288,No
5289,No
5290,No
5291,Yes
5292,No
5293,Yes
5294,Yes
5295,No
5296,No
5297,No
5298,No
5299,No
5300,No
5301,No
5302,No
5303,No
5304,No
5305,Yes
5306,Yes
5307,No
5308,Yes
5309,Yes
5310,No
5311,No
5312,No
5313,Yes
5314,Yes
5315,No
5316,No
5317,No
5318,Yes
5319,Yes
5320,Yes
5321,No
5322,Yes
5323,No
5324,Yes
5325,No
5326,No
5327,No
5328,No
5329,Yes
5330,No
5331,No
5332,No
5333,No
5334,No
5335,No
5336,No
5337,Yes
5338,No
5339,No
5340,Yes
5341,No
5342,Yes
5343,No
5344,Yes
5345,No
5346,Yes
5347,No
5348,Yes
5349,No
5350,No
5351,No
5352,No
5353,Yes
5354,Yes
5355,No
5356,No
5357,No
5358,No
5359,Yes
5360,No
5361,Yes
5362,No
5363,No
5364,No
5365,Yes
5366,No
5367,No
5368,No
5369,No
5370,Yes
5371,Yes
5372,No
5373,No
5374,No
5375,No
5376,No
5377,No
5378,No
5379,No
5380,No
5381,Yes
5382,Yes
5383,No
5384,No
5385,No
5386,No
5387,Yes
5388,No
5389,No
5390,No
5391,Yes
5392,No
5393,No
5394,Yes
5395,No
5396,No
5397,No
5398,No
5399,No
5400,No
5401,No
5402,Yes
5403,No
5404,No
5405,No
5406,No
5407,No
5408,No
5409,Yes
5410,No
5411,No
5412,No
5413,No
5414,No
5415,No
5416,No
5417,No
5418,No
5419,No
5420,No
5421,Yes
5422,No
5423,Yes
5424,No
5425,No
5426,No
5427,No
5428,No
5429,No
5430,Yes
5431,No
5432,No
5433,No
5434,No
5435,No
5436,No
5437,No
5438,Yes
5439,No
5440,Yes
5441,Yes
5442,Yes
5443,No
5444,No
5445,Yes
5446,Yes
5447,No
5448,No
5449,Yes
5450,No
5451,Yes
5452,Yes
5453,Yes
5454,Yes
5455,Yes
5456,Yes
5457,No
5458,No
5459,No
5460,No
5461,Yes
5462,No
5463,No
5464,Yes
5465,No
5466,No
5467,No
5468,No
5469,Yes
5470,No
5471,No
5472,Yes
5473,No
5474,No
5475,Yes
5476,No
5477,Yes
5478,No
5479,No
5480,No
5481,Yes
5482,No
5483,No
5484,No
5485,No
5486,Yes
5487,Yes
5488,No
5489,Yes
5490,No
5491,No
5492,No
5493,Yes
5494,No
5495,No
5496,No
5497,Yes
5498,No
5499,No
5500,Yes
5501,No
5502,No
5503,No
5504,No
5505,Yes
5506,No
5507,No
5508,No
5509,No
5510,Yes
5511,No
5512,No
5513,No
5514,No
5515,No
5516,Yes
5517,Yes
5518,No
5519,No
5520,Yes
5521,No
5522,Yes
5523,No
5524,No
5525,No
5526,No
5527,No
5528,No
5529,No
5530,No
5531,No
5532,Yes
5533,No
5534,No
5535,No
5536,No
5537,No
5538,Yes
5539,No
5540,No
5541,No
5542,No
5543,No
5544,No
5545,Yes
5546,No
5547,No
5548,No
5549,No
5550,No
5551,No
5552,No
5553,No
5554,No
5555,No
5556,No
5557,No
5558,No
5559,Yes
5560,Yes
5561,No
5562,No
5563,No
5564,Yes
5565,No
5566,No
5567,No
5568,Yes
5569,No
5570,Yes
5571,No
5572,No
5573,No
5574,No
5575,No
5576,Yes
5577,Yes
5578,Yes
5579,No
5580,Yes
5581,Yes
5582,Yes
5583,Yes
5584,No
5585,No
5586,No
5587,No
5588,Yes
5589,Yes
5590,No
5591,Yes
5592,Yes
5593,No
5594,Yes
5595,Yes
5596,No
5597,No
5598,No
5599,Yes
5600,No
5601,No
5602,No
5603,No
5604,No
5605,No
5606,No
5607,No
5608,No
5609,Yes
5610,No
5611,Yes
5612,No
5613,No
5614,No
5615,No
5616,No
5617,No
5618,No
5619,No
5620,Yes
5621,No
5622,Yes
5623,No
5624,No
5625,Yes
5626,No
5627,No
5628,No
5629,No
5630,Yes
5631,No
5632,No
5633,No
5634,No
5635,Yes
5636,No
5637,No
5638,No
5639,Yes
5640,No
5641,No
5642,No
5643,Yes
5644,Yes
5645,No
5646,No
5647,Yes
5648,No
5649,No
5650,No
5651,No
5652,No
5653,No
5654,No
5655,No
5656,No
5657,No
5658,No
5659,No
5660,No
5661,Yes
5662,No
5663,No
5664,No
5665,No
5666,No
5667,No
5668,Yes
5669,No
5670,No
5671,Yes
5672,No
5673,No
5674,No
5675,No
5676,No
5677,No
5678,No
5679,No
5680,No
5681,No
5682,No
5683,No
5684,No
5685,Yes
5686,No
5687,No
5688,No
5689,No
5690,Yes
5691,No
5692,No
5693,No
5694,No
5695,No
5696,No
5697,No
5698,No
5699,No
5700,No
5701,No
5702,No
5703,Yes
5704,No
5705,Yes
5706,Yes
5707,No
5708,No
5709,No
5710,No
5711,No
5712,Yes
5713,Yes
5714,No
5715,No
5716,Yes
5717,No
5718,No
5719,No
5720,No
5721,No
5722,No
5723,No
5724,No
5725,No
5726,No
5727,No
5728,No
5729,No
5730,Yes
5731,No
5732,Yes
5733,No
5734,No
5735,No
5736,No
5737,No
5738,Yes
5739,No
5740,No
5741,No
5742,No
5743,No
5744,Yes
5745,No
5746,No
5747,Yes
5748,No
5749,No
5750,No
5751,No
5752,Yes
5753,Yes
5754,No
5755,No
5756,No
5757,No
5758,No
5759,No
5760,No
5761,Yes
5762,No
5763,Yes
5764,No
5765,No
5766,No
5767,No
5768,Yes
5769,No
5770,Yes
5771,No
5772,Yes
5773,No
5774,No
5775,No
5776,Yes
5777,No
5778,Yes
5779,No
5780,No
5781,No
5782,No
5783,No
5784,No
5785,No
5786,No
5787,No
5788,No
5789,No
5790,No
5791,No
5792,Yes
5793,Yes
5794,Yes
5795,No
5796,No
5797,No
5798,No
5799,Yes
5800,No
5801,No
5802,Yes
5803,No
5804,No
5805,No
5806,No
5807,No
5808,No
5809,No
5810,Yes
5811,Yes
5812,Yes
5813,No
5814,No
5815,Yes
5816,Yes
5817,No
5818,No
5819,No
5820,No
5821,Yes
5822,No
5823,No
5824,Yes
5825,No
5826,No
5827,No
5828,Yes
5829,Yes
5830,Yes
5831,Yes
5832,Yes
5833,No
5834,Yes
5835,No
5836,No
5837,No
5838,No
5839,No
5840,No
5841,No
5842,No
5843,No
5844,No
5845,No
5846,No
5847,No
5848,No
5849,No
5850,Yes
5851,Yes
5852,Yes
5853,No
5854,Yes
5855,No
5856,No
5857,No
5858,No
5859,Yes
5860,No
5861,No
5862,No
5863,No
5864,No
5865,No
5866,No
5867,No
5868,No
5869,No
5870,No
5871,No
5872,No
5873,No
5874,Yes
5875,No
5876,No
5877,No
5878,Yes
5879,No
5880,No
5881,Yes
5882,Yes
5883,No
5884,No
5885,No
5886,Yes
5887,Yes
5888,No
5889,No
5890,No
5891,No
5892,No
5893,No
5894,Yes
5895,No
5896,No
5897,No
5898,Yes
5899,No
5900,No
5901,Yes
5902,No
5903,Yes
5904,No
5905,No
5906,No
5907,No
5908,No
5909,No
5910,No
5911,No
5912,No
5913,No
5914,No
5915,No
5916,No
5917,No
5918,No
5919,No
5920,No
5921,No
5922,No
5923,No
5924,Yes
5925,No
5926,Yes
5927,Yes
5928,Yes
5929,No
5930,No
5931,No
5932,No
5933,Yes
5934,No
5935,No
5936,No
5937,Yes
5938,Yes
5939,No
5940,No
5941,No
5942,Yes
5943,No
5944,Yes
5945,No
5946,No
5947,No
5948,Yes
5949,No
5950,No
5951,No
5952,No
5953,No
5954,No
5955,Yes
5956,No
5957,No
5958,Yes
5959,No
5960,No
5961,Yes
5962,Yes
5963,No
5964,No
5965,No
5966,No
5967,Yes
5968,No
5969,No
5970,Yes
5971,No
5972,No
5973,Yes
5974,No
5975,Yes
5976,No
5977,Yes
5978,No
5979,No
5980,No
5981,No
5982,Yes
5983,No
5984,No
5985,Yes
5986,No
5987,Yes
5988,No
5989,No
5990,No
5991,Yes
5992,No
5993,No
5994,No
5995,No
5996,No
5997,No
5998,No
5999,No
6000,No
6001,Yes
6002,No
6003,No
6004,No
6005,Yes
6006,Yes
6007,No
6008,Yes
6009,No
6010,No
6011,Yes
6012,No
6013,Yes
6014,No
6015,Yes
6016,No
6017,No
6018,No
6019,No
6020,No
6021,No
6022,No
6023,No
6024,No
6025,Yes
6026,Yes
6027,No
6028,No
6029,No
6030,No
6031,Yes
6032,No
6033,No
6034,Yes
6035,Yes
6036,No
6037,No
6038,No
6039,No
6040,No
6041,Yes
6042,Yes
6043,No
6044,Yes
6045,No
6046,No
6047,Yes
6048,No
6049,No
6050,No
6051,No
6052,No
6053,No
6054,Yes
6055,No
6056,No
6057,No
6058,No
6059,No
6060,No
6061,No
6062,No
6063,No
6064,Yes
6065,Yes
6066,No
6067,No
6068,No
6069,No
6070,Yes
6071,Yes
6072,No
6073,No
6074,Yes
6075,No
6076,No
6077,No
6078,No
6079,No
6080,No
6081,No
6082,No
6083,No
6084,No
6085,No
6086,No
6087,No
6088,Yes
6089,No
6090,No
6091,Yes
6092,No
6093,Yes
6094,No
6095,No
6096,No
6097,No
6098,No
6099,Yes
6100,No
6101,No
6102,No
6103,Yes
6104,No
6105,No
6106,Yes
6107,No
6108,No
6109,No
6110,Yes
6111,Yes
6112,No
6113,Yes
6114,No
6115,Yes
6116,Yes
6117,No
6118,Yes
6119,No
6120,No
6121,No
6122,No
6123,No
6124,Yes
6125,Yes
6126,No
6127,No
6128,No
6129,Yes
6130,No
6131,No
6132,No
6133,No
6134,No
6135,No
6136,No
6137,No
6138,No
6139,No
6140,No
6141,No
6142,No
6143,No
6144,Yes
6145,No
6146,No
6147,No
6148,No
6149,Yes
6150,No
6151,No
6152,No
6153,No
6154,No
6155,No
6156,No
6157,No
6158,No
6159,No
6160,No
6161,No
6162,Yes
6163,Yes
6164,No
6165,Yes
6166,No
6167,No
6168,Yes
6169,Yes
6170,No
6171,Yes
6172,No
6173,No
6174,Yes
6175,Yes
6176,No
6177,Yes
6178,No
6179,No
6180,No
6181,No
6182,No
6183,No
6184,Yes
6185,No
6186,No
6187,Yes
6188,No
6189,No
6190,No
6191,No
6192,No
6193,No
6194,Yes
6195,No
6196,Yes
6197,No
6198,Yes
6199,No
6200,No
6201,No
6202,Yes
6203,No
6204,No
6205,No
6206,No
6207,No
6208,No
6209,No
6210,Yes
6211,No
6212,Yes
6213,No
6214,No
6215,Yes
6216,No
6217,No
6218,No
6219,Yes
6220,No
6221,No
6222,Yes
6223,No
6224,No
6225,No
6226,No
6227,No
6228,Yes
6229,No
6230,No
6231,No
6232,No
6233,No
6234,Yes
6235,No
6236,No
6237,No
6238,No
6239,No
6240,No
6241,No
6242,No
6243,No
6244,Yes
6245,Yes
6246,No
6247,No
6248,Yes
6249,No
6250,No
6251,No
6252,No
6253,No
6254,Yes
6255,No
6256,No
6257,Yes
6258,Yes
6259,No
6260,No
6261,No
6262,No
6263,Yes
6264,No
6265,No
6266,No
6267,No
6268,No
6269,No
6270,No
6271,Yes
6272,No
6273,No
6274,Yes
6275,No
6276,Yes
6277,No
6278,No
6279,No
6280,No
6281,No
6282,Yes
6283,No
6284,No
6285,Yes
6286,No
6287,No
6288,No
6289,No
6290,No
6291,No
6292,No
6293,No
6294,No
6295,No
6296,No
6297,No
6298,No
6299,No
6300,No
6301,Yes
6302,Yes
6303,Yes
6304,Yes
6305,Yes
6306,Yes
6307,No
6308,No
6309,No
6310,Yes
6311,No
6312,No
6313,No
6314,No
6315,Yes
6316,No
6317,No
6318,No
6319,Yes
6320,No
6321,No
6322,No
6323,No
6324,No
6325,No
6326,No
6327,No
6328,No
6329,No
6330,No
6331,Yes
6332,No
6333,No
6334,No
6335,No
6336,No
6337,No
6338,Yes
6339,Yes
6340,Yes
6341,Yes
6342,Yes
6343,Yes
6344,Yes
6345,Yes
6346,Yes
6347,Yes
6348,Yes
6349,Yes
6350,Yes
6351,Yes
6352,Yes
6353,Yes
6354,Yes
6355,Yes
6356,Yes
6357,Yes
6358,Yes
6359,Yes
6360,Yes
6361,Yes
6362,Yes
6363,Yes
6364,Yes
6365,Yes
6366,Yes
6367,No
6368,Yes
6369,Yes
6370,Yes
6371,Yes
6372,Yes
6373,Yes
6374,Yes
6375,Yes
6376,No
6377,Yes
6378,Yes
6379,Yes
6380,Yes
6381,Yes
6382,Yes
6383,No
6384,Yes
6385,Yes
6386,Yes
6387,Yes
6388,Yes
6389,Yes
6390,Yes
6391,Yes
6392,Yes
6393,No
6394,Yes
6395,Yes
6396,Yes
6397,Yes
6398,Yes
6399,Yes
6400,Yes
6401,Yes
6402,Yes
6403,Yes
6404,Yes
6405,Yes
6406,Yes
6407,Yes
6408,Yes
6409,Yes
6410,Yes
6411,Yes
6412,Yes
6413,Yes
6414,Yes
6415,Yes
6416,Yes
6417,No
6418,Yes
6419,Yes
6420,Yes
6421,Yes
6422,Yes
6423,Yes
6424,Yes
6425,Yes
6426,Yes
6427,Yes
6428,Yes
6429,Yes
6430,No
6431,Yes
6432,Yes
6433,No
6434,Yes
6435,Yes
6436,Yes
6437,Yes
6438,Yes
6439,Yes
6440,Yes
6441,Yes
6442,Yes
6443,Yes
6444,Yes
6445,Yes
6446,Yes
6447,Yes
6448,Yes
6449,No
6450,Yes
6451,Yes
6452,No
6453,Yes
6454,Yes
6455,Yes
6456,Yes
6457,Yes
6458,Yes
6459,Yes
6460,No
6461,Yes
6462,Yes
6463,Yes
6464,Yes
6465,Yes
6466,Yes
6467,Yes
6468,Yes
6469,Yes
6470,Yes
6471,Yes
6472,Yes
6473,Yes
6474,Yes
6475,Yes
6476,Yes
6477,Yes
6478,Yes
6479,Yes
6480,Yes
6481,Yes
6482,Yes
6483,Yes
6484,Yes
6485,Yes
6486,Yes
6487,Yes
6488,Yes
6489,Yes
6490,Yes
6491,Yes
6492,Yes
6493,No
6494,Yes
6495,Yes
6496,Yes
6497,Yes
6498,Yes
6499,Yes
6500,Yes
6501,Yes
6502,Yes
6503,Yes
6504,Yes
6505,Yes
6506,Yes
6507,Yes
6508,Yes
6509,Yes
6510,Yes
6511,Yes
6512,Yes
6513,No
6514,Yes
6515,Yes
6516,No
6517,Yes
6518,Yes
6519,Yes
6520,Yes
6521,No
6522,Yes
6523,Yes
6524,Yes
6525,Yes
6526,Yes
6527,Yes
6528,Yes
6529,Yes
6530,Yes
6531,Yes
6532,Yes
6533,Yes
